tool_type,diameter_mm,flutes,operation,material,status,entry_class,registry_tools,entry_style_default,ramp_angle_deg,helix_radius_mm,helix_pitch_mm,plunge_mm_min_csv,feed_mm_min_csv,rpm_csv,plunge_rule,ramp_feed_today_derived,dressup_entry_feed_derived,ramp_feed_approved_derived,ramp_feed_approved_basis,suggest_rewrote_style
EndMill,6.0000,2,Adaptive3d,mdf,ok,E3 adaptive3d planner entry,any,ramp (Suggest rewrite),10.0,,,706.0000,4000.0000,14998.0000,material base,1059,,4000,G6 axial chip 0.0762 mm,yes
EndMill,6.0000,2,Adaptive3d,plywood_hardwood,ok,E3 adaptive3d planner entry,any,ramp (Suggest rewrite),10.0,,,682.0000,4000.0000,17997.0000,material base,1023,,4000,G6 axial chip 0.0635 mm,yes
EndMill,6.0000,2,Waterline,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,1000.0000,3165.0000,10610.0000,material base,1500,,,,
EndMill,6.0000,2,Waterline,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,702.0000,4000.0000,8000.0000,material base,1054,,,,
EndMill,6.0000,2,Waterline,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,706.0000,4000.0000,8000.0000,material base,1059,,,,
EndMill,6.0000,2,Waterline,plywood_hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,682.0000,4000.0000,8000.0000,material base,1023,,,,
EndMill,6.0000,2,Pencil,softwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Pencil,hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Pencil,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Pencil,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Scallop,softwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Scallop,hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Scallop,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,Scallop,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,UnifiedFinish,softwood,refused,E6 no entry (strip all),"Ball, TaperedBall",none,,,,,,,,,,,,
EndMill,6.0000,2,UnifiedFinish,hardwood,refused,E6 no entry (strip all),"Ball, TaperedBall",none,,,,,,,,,,,,
EndMill,6.0000,2,UnifiedFinish,mdf,refused,E6 no entry (strip all),"Ball, TaperedBall",none,,,,,,,,,,,,
EndMill,6.0000,2,UnifiedFinish,plywood_hardwood,refused,E6 no entry (strip all),"Ball, TaperedBall",none,,,,,,,,,,,,
EndMill,6.0000,2,SteepShallow,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,1000.0000,3165.0000,10610.0000,material base,1500,,,,
EndMill,6.0000,2,SteepShallow,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,702.0000,4000.0000,8000.0000,material base,1054,,,,
EndMill,6.0000,2,SteepShallow,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,706.0000,4000.0000,8000.0000,material base,1059,,,,
EndMill,6.0000,2,SteepShallow,plywood_hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,682.0000,4000.0000,8000.0000,material base,1023,,,,
EndMill,6.0000,2,RampFinish,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,1000.0000,1519.0000,10610.0000,material base,1000,,,,
EndMill,6.0000,2,RampFinish,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,702.0000,973.0000,10610.0000,material base,703,,,,
EndMill,6.0000,2,RampFinish,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,706.0000,951.0000,9019.0000,material base,706,,,,
EndMill,6.0000,2,RampFinish,plywood_hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,682.0000,964.0000,9549.0000,material base,682,,,,
EndMill,6.0000,2,SpiralFinish,softwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,SpiralFinish,hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,SpiralFinish,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,SpiralFinish,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
EndMill,6.0000,2,RadialFinish,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,1000.0000,1519.0000,10610.0000,material base,1000,,,,
EndMill,6.0000,2,RadialFinish,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,702.0000,973.0000,10610.0000,material base,703,,,,
EndMill,6.0000,2,RadialFinish,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,706.0000,951.0000,9019.0000,material base,706,,,,
EndMill,6.0000,2,RadialFinish,plywood_hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,682.0000,964.0000,9549.0000,material base,682,,,,
EndMill,6.0000,2,HorizontalFinish,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,1000.0000,1519.0000,10610.0000,material base,1000,,,,
EndMill,6.0000,2,HorizontalFinish,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,702.0000,973.0000,10610.0000,material base,703,,,,
EndMill,6.0000,2,HorizontalFinish,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,706.0000,951.0000,9019.0000,material base,706,,,,
EndMill,6.0000,2,HorizontalFinish,plywood_hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,682.0000,964.0000,9549.0000,material base,682,,,,
EndMill,6.0000,2,ProjectCurve,softwood,ok,E6 no entry (strip all),any,none,,,,1000.0000,3165.0000,10610.0000,material base,1500,,,,
EndMill,6.0000,2,ProjectCurve,hardwood,ok,E6 no entry (strip all),any,none,,,,702.0000,4000.0000,8000.0000,material base,1054,,,,
EndMill,6.0000,2,ProjectCurve,mdf,ok,E6 no entry (strip all),any,none,,,,706.0000,4000.0000,8000.0000,material base,1059,,,,
EndMill,6.0000,2,ProjectCurve,plywood_hardwood,ok,E6 no entry (strip all),any,none,,,,682.0000,4000.0000,8000.0000,material base,1023,,,,
EndMill,6.0000,2,AlignmentPinDrill,softwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1778.0000,1778.0000,14000.0000,drill feed (G6 claim),1000,,,,
EndMill,6.0000,2,AlignmentPinDrill,hardwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1778.0000,1778.0000,14000.0000,drill feed (G6 claim),889,,,,
EndMill,6.0000,2,AlignmentPinDrill,mdf,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,2133.0000,2133.0000,14000.0000,drill feed (G6 claim),1059,,,,
EndMill,6.0000,2,AlignmentPinDrill,plywood_hardwood,ok,E7 drill (no entry; plunge = drill feed),any,none,,,,1778.0000,1778.0000,14000.0000,drill feed (G6 claim),889,,,,
BallNose,3.1750,2,Face,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,476.0000,3999.0000,13123.0000,ball tip cap,794,238,476,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Face,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,371,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Face,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,13123.0000,material base,561,186,373,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Face,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,3.1750,2,Pocket,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,476.0000,3999.0000,13123.0000,ball tip cap,794,238,476,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Pocket,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,371,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Pocket,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,13123.0000,material base,561,186,373,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Pocket,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,3.1750,2,Profile,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,476.0000,1947.0000,20051.0000,ball tip cap,794,238,476,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Profile,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,1248.0000,20051.0000,material base,558,186,371,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Profile,mdf,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,3.1750,2,Profile,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,3.1750,2,Adaptive,softwood,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,476.0000,4000.0000,14998.0000,ball tip cap,794,238,476,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Adaptive,hardwood,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,371.0000,3657.6000,18000.0000,material base,558,186,371,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Adaptive,mdf,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,373.0000,4000.0000,14998.0000,material base,561,186,373,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Adaptive,plywood_hardwood,refused,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,,,,,,,,,
BallNose,3.1750,2,VCarve,softwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,VCarve,hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,VCarve,mdf,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,VCarve,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Rest,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,476.0000,3999.0000,13123.0000,ball tip cap,794,238,476,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Rest,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,371,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Rest,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,13123.0000,material base,561,186,373,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Rest,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,3.1750,2,Inlay,softwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Inlay,hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Inlay,mdf,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Inlay,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Zigzag,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,476.0000,3999.0000,13123.0000,ball tip cap,794,238,476,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Zigzag,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,371.0000,3657.0000,18000.0000,material base,558,186,371,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Zigzag,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,373.0000,3999.0000,13123.0000,material base,561,186,373,plunge fallback (no printed axial chip),
BallNose,3.1750,2,Zigzag,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,3.1750,2,Trace,softwood,ok,E5 no entry (forced none),any,none,,,,476.0000,1947.0000,20051.0000,ball tip cap,794,,,,
BallNose,3.1750,2,Trace,hardwood,ok,E5 no entry (forced none),any,none,,,,371.0000,1248.0000,20051.0000,material base,558,,,,
BallNose,3.1750,2,Trace,mdf,refused,E5 no entry (forced none),any,none,,,,,,,,,,,,
BallNose,3.1750,2,Trace,plywood_hardwood,refused,E5 no entry (forced none),any,none,,,,,,,,,,,,
BallNose,3.1750,2,Drill,softwood,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,3.1750,2,Drill,hardwood,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,3.1750,2,Drill,mdf,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,3.1750,2,Drill,plywood_hardwood,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,3.1750,2,Chamfer,softwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Chamfer,hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Chamfer,mdf,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Chamfer,plywood_hardwood,refused,"E4a V-bit ops, dressup entry off (operator may set)",VBit,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,DropCutter,softwood,ok,E6 no entry (strip all),any,none,,,,476.0000,1008.0000,21000.0000,ball tip cap,529,,,,
BallNose,3.1750,2,DropCutter,hardwood,ok,E6 no entry (strip all),any,none,,,,371.0000,684.0000,19000.0000,material base,372,,,,
BallNose,3.1750,2,DropCutter,mdf,ok,E6 no entry (strip all),any,none,,,,373.0000,758.0000,18500.0000,material base,379,,,,
BallNose,3.1750,2,DropCutter,plywood_hardwood,refused,E6 no entry (strip all),any,none,,,,,,,,,,,,
BallNose,3.1750,2,Adaptive3d,softwood,ok,E3 adaptive3d planner entry,any,ramp (Suggest rewrite),10.0,,,476.0000,4000.0000,14998.0000,ball tip cap,794,,476,plunge fallback (no printed axial chip),yes
BallNose,3.1750,2,Adaptive3d,hardwood,ok,E3 adaptive3d planner entry,any,ramp (Suggest rewrite),10.0,,,371.0000,3657.6000,18000.0000,material base,558,,371,plunge fallback (no printed axial chip),yes
BallNose,3.1750,2,Adaptive3d,mdf,ok,E3 adaptive3d planner entry,any,ramp (Suggest rewrite),10.0,,,373.0000,4000.0000,14998.0000,material base,561,,373,plunge fallback (no printed axial chip),yes
BallNose,3.1750,2,Adaptive3d,plywood_hardwood,refused,E3 adaptive3d planner entry,any,plunge (peck),,,,,,,,,,,,
BallNose,3.1750,2,Waterline,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,476.0000,1947.0000,20051.0000,ball tip cap,794,,,,
BallNose,3.1750,2,Waterline,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,371.0000,1248.0000,20051.0000,material base,558,,,,
BallNose,3.1750,2,Waterline,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Waterline,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Pencil,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,476.0000,1947.0000,20051.0000,ball tip cap,794,,,,
BallNose,3.1750,2,Pencil,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,371.0000,1248.0000,20051.0000,material base,558,,,,
BallNose,3.1750,2,Pencil,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Pencil,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Scallop,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,476.0000,1157.0000,17500.0000,ball tip cap,578,,,,
BallNose,3.1750,2,Scallop,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,371.0000,771.0000,17500.0000,material base,386,,,,
BallNose,3.1750,2,Scallop,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,Scallop,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,UnifiedFinish,softwood,ok,E6 no entry (strip all),"Ball, TaperedBall",none,,,,476.0000,1157.0000,17500.0000,ball tip cap,578,,,,
BallNose,3.1750,2,UnifiedFinish,hardwood,ok,E6 no entry (strip all),"Ball, TaperedBall",none,,,,371.0000,771.0000,17500.0000,material base,386,,,,
BallNose,3.1750,2,UnifiedFinish,mdf,refused,E6 no entry (strip all),"Ball, TaperedBall",none,,,,,,,,,,,,
BallNose,3.1750,2,UnifiedFinish,plywood_hardwood,refused,E6 no entry (strip all),"Ball, TaperedBall",none,,,,,,,,,,,,
BallNose,3.1750,2,SteepShallow,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,476.0000,1947.0000,20051.0000,ball tip cap,794,,,,
BallNose,3.1750,2,SteepShallow,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,371.0000,1248.0000,20051.0000,material base,558,,,,
BallNose,3.1750,2,SteepShallow,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,SteepShallow,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,RampFinish,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,476.0000,1008.0000,21000.0000,ball tip cap,529,,,,
BallNose,3.1750,2,RampFinish,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,371.0000,684.0000,19000.0000,material base,372,,,,
BallNose,3.1750,2,RampFinish,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,373.0000,758.0000,18500.0000,material base,379,,,,
BallNose,3.1750,2,RampFinish,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,SpiralFinish,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,476.0000,1157.0000,17500.0000,ball tip cap,578,,,,
BallNose,3.1750,2,SpiralFinish,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,371.0000,771.0000,17500.0000,material base,386,,,,
BallNose,3.1750,2,SpiralFinish,mdf,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,SpiralFinish,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)","Ball, TaperedBall",none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,RadialFinish,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,476.0000,1008.0000,21000.0000,ball tip cap,529,,,,
BallNose,3.1750,2,RadialFinish,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,371.0000,684.0000,19000.0000,material base,372,,,,
BallNose,3.1750,2,RadialFinish,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,373.0000,758.0000,18500.0000,material base,379,,,,
BallNose,3.1750,2,RadialFinish,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,HorizontalFinish,softwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,476.0000,1008.0000,21000.0000,ball tip cap,529,,,,
BallNose,3.1750,2,HorizontalFinish,hardwood,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,371.0000,684.0000,19000.0000,material base,372,,,,
BallNose,3.1750,2,HorizontalFinish,mdf,ok,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,373.0000,758.0000,18500.0000,material base,379,,,,
BallNose,3.1750,2,HorizontalFinish,plywood_hardwood,refused,"E4b 3D finishes, dressup entry off (operator may set)",any,none (operator may set ramp or helix),,,,,,,,,,,,
BallNose,3.1750,2,ProjectCurve,softwood,ok,E6 no entry (strip all),any,none,,,,476.0000,1008.0000,21000.0000,ball tip cap,529,,,,
BallNose,3.1750,2,ProjectCurve,hardwood,ok,E6 no entry (strip all),any,none,,,,371.0000,684.0000,19000.0000,material base,372,,,,
BallNose,3.1750,2,ProjectCurve,mdf,ok,E6 no entry (strip all),any,none,,,,373.0000,758.0000,18500.0000,material base,379,,,,
BallNose,3.1750,2,ProjectCurve,plywood_hardwood,refused,E6 no entry (strip all),any,none,,,,,,,,,,,,
BallNose,3.1750,2,AlignmentPinDrill,softwood,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,3.1750,2,AlignmentPinDrill,hardwood,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,3.1750,2,AlignmentPinDrill,mdf,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,3.1750,2,AlignmentPinDrill,plywood_hardwood,refused,E7 drill (no entry; plunge = drill feed),any,none,,,,,,,,,,,,
BallNose,6.0000,2,Face,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,900.0000,3999.0000,10076.0000,ball tip cap,1500,450,900,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Face,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,702.0000,3999.0000,13565.0000,material base,1054,351,702,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Face,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,706.0000,3999.0000,11391.0000,material base,1059,353,706,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Face,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,6.0000,2,Pocket,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,900.0000,3999.0000,10076.0000,ball tip cap,1500,450,900,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Pocket,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,702.0000,3999.0000,13565.0000,material base,1054,351,702,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Pocket,mdf,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,706.0000,3999.0000,11391.0000,material base,1059,353,706,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Pocket,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,6.0000,2,Profile,softwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,900.0000,1519.0000,10610.0000,ball tip cap,1000,450,900,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Profile,hardwood,ok,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,702.0000,973.0000,10610.0000,material base,703,351,702,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Profile,mdf,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,6.0000,2,Profile,plywood_hardwood,refused,"E1 2.5D rough, dressup Ramp on",any,ramp (dressup),3.0,,,,,,,,,,,
BallNose,6.0000,2,Adaptive,softwood,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,900.0000,4000.0000,11516.0000,ball tip cap,1500,450,900,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Adaptive,hardwood,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,702.0000,4000.0000,15503.0000,material base,1054,351,702,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Adaptive,mdf,ok,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,706.0000,4000.0000,13018.0000,material base,1059,353,706,plunge fallback (no printed axial chip),
BallNose,6.0000,2,Adaptive,plywood_hardwood,refused,"E2 2D adaptive, dressup Helix on",any,helix (dressup),,2.00,1.0,,,,,,,,,
